127.0.0.1 - - [26/May/2024:11:43:52 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/ HTTP/1.1" 200 18809
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/all/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/del8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/Logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/tn1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/banphim2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/usb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/content/le1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/laptop1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /CPT/img/content/as1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:11:43:53 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:41 +0700] "GET /CPT/ HTTP/1.1" 200 15907
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:42 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:42 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:42 +0700] "GET /CPT/img/content/as1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:42 +0700] "GET /CPT/img/content/le1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:42 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:42 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:42 +0700] "GET /CPT/img/content/le1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:42 +0700] "GET /CPT/img/content/as1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:45 +0700] "GET /CPT/ HTTP/1.1" 200 15907
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:45 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:45 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:45 +0700] "GET /CPT/img/content/le1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:45 +0700] "GET /CPT/img/content/as1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:45 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:30:45 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:22 +0700] "GET /CPT/ HTTP/1.1" 200 15907
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:22 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:22 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:22 +0700] "GET /CPT/img/content/le1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:22 +0700] "GET /CPT/img/content/as1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:22 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:22 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/ HTTP/1.1" 200 15907
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/img/content/le1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/img/content/as1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/ HTTP/1.1" 200 15907
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [26/May/2024:14:34:24 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
