127.0.0.1 - - [13/May/2024:08:52:32 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/ HTTP/1.1" 200 17393
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/laptop1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/all/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/Logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/ac1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/as1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/le1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/hp1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/as1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/mac1.jpg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /CPT/img/content/le1.jpg HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [13/May/2024:08:52:32 +0700] "GET /favicon.ico HTTP/1.1" 404 684
